"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1974 "febrero" "1974-02-01" "Bucaramanga" NA
1974 "marzo" "1974-03-01" "Bucaramanga" NA
1974 "abril" "1974-04-01" "Bucaramanga" NA
1974 "mayo" "1974-05-01" "Bucaramanga" NA
1974 "junio" "1974-06-01" "Bucaramanga" NA
1974 "julio" "1974-07-01" "Bucaramanga" NA
1974 "agosto" "1974-08-01" "Bucaramanga" NA
1974 "septiembre" "1974-09-01" "Bucaramanga" NA
1974 "octubre" "1974-10-01" "Bucaramanga" NA
1974 "noviembre" "1974-11-01" "Bucaramanga" NA
1974 "diciembre" "1974-12-01" "Bucaramanga" NA
1975 "enero" "1975-01-01" "Bucaramanga" NA
1975 "febrero" "1975-02-01" "Bucaramanga" NA
1975 "marzo" "1975-03-01" "Bucaramanga" NA
1975 "abril" "1975-04-01" "Bucaramanga" NA
1975 "mayo" "1975-05-01" "Bucaramanga" NA
1975 "junio" "1975-06-01" "Bucaramanga" NA
1975 "julio" "1975-07-01" "Bucaramanga" NA
1975 "agosto" "1975-08-01" "Bucaramanga" NA
1975 "septiembre" "1975-09-01" "Bucaramanga" NA
1975 "octubre" "1975-10-01" "Bucaramanga" NA
1975 "noviembre" "1975-11-01" "Bucaramanga" NA
1975 "diciembre" "1975-12-01" "Bucaramanga" NA
1976 "enero" "1976-01-01" "Bucaramanga" NA
1976 "febrero" "1976-02-01" "Bucaramanga" NA
1976 "marzo" "1976-03-01" "Bucaramanga" NA
1976 "abril" "1976-04-01" "Bucaramanga" NA
1976 "mayo" "1976-05-01" "Bucaramanga" NA
1976 "junio" "1976-06-01" "Bucaramanga" NA
1976 "julio" "1976-07-01" "Bucaramanga" NA
1976 "agosto" "1976-08-01" "Bucaramanga" NA
1976 "septiembre" "1976-09-01" "Bucaramanga" NA
1976 "octubre" "1976-10-01" "Bucaramanga" NA
1976 "noviembre" "1976-11-01" "Bucaramanga" NA
1976 "diciembre" "1976-12-01" "Bucaramanga" NA
1977 "enero" "1977-01-01" "Bucaramanga" NA
1977 "febrero" "1977-02-01" "Bucaramanga" NA
1977 "marzo" "1977-03-01" "Bucaramanga" NA
1977 "abril" "1977-04-01" "Bucaramanga" NA
1977 "mayo" "1977-05-01" "Bucaramanga" 21.1
1977 "junio" "1977-06-01" "Bucaramanga" 21.1
1977 "julio" "1977-07-01" "Bucaramanga" 21.6
1977 "agosto" "1977-08-01" "Bucaramanga" 21.7
1977 "septiembre" "1977-09-01" "Bucaramanga" 21.3
